   yearmon         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80        81        82        83        84        85        86        87        88        89        90        91        92        93        94        95        96        97        98        99       100       101       102       103       104       105       106       107       108       109       110       111       112       113       114       115       116       117       118       119       120       121       122       123       124       125       126       127       128       129       130       131       132       133       134       135       136       137       138       139       140       141       142
    195101     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    14.831    14.256    14.784    11.462    15.334    18.406    15.577  -999.000    13.665    15.577    16.574  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000     0.000    19.876    19.876    19.341    18.317    75.383  5656.318  5829.679  5997.545  3736.338 20656.387   140.000    80.000  4894.871    10.414     2.187     9.930     3.010   146.500 25778.871  2061.933  2528.829    60.403     6.535   -17.694     0.111    -0.429    -0.192     0.053    -0.451     0.273    -0.174     0.663    -0.210  -999.000    -2.893    -0.508    19.534     3.094    12.870    11.673    17.000     5.000     9.000    -0.586    -0.784    -0.908    -1.184     0.184    -0.875    -0.298    -0.728    -0.812    -0.089    -1.185     0.000     1.031     0.109    18.723    18.171     0.024     1.169     1.063    -0.168    -0.330    -0.870    -0.310    -0.891    -0.009     1.439     2.000     0.000     0.000   599.000     2.500  -999.000    -1.070    -1.540     2.140    -6.010  -999.000  1079.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195102     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    14.651    12.919    12.919    14.753    14.434  -999.000  -999.000  -999.000    14.493  -999.000    15.097  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000     0.000    20.259    19.931    19.024    19.936    77.068  6546.644  5842.554  6096.289  3836.397 21731.389   272.500    67.500  4958.464     9.495     5.268    10.690     4.591   150.000 26000.393  2058.903  2478.023    80.758     8.905   -23.157     0.319    -0.625    -0.314    -0.209    -0.505    -0.206    -0.111     0.446     0.480  -999.000    -2.057    -0.547    16.200     2.708    11.889    10.982    10.000     0.000    18.000    -0.898    -0.710    -0.856    -1.025     0.173    -0.696    -0.082    -0.698    -0.790    -0.304    -1.055     0.000     4.528     0.770    17.881    16.506    -0.106     1.288     1.131     0.036    -0.331    -0.741    -0.300    -0.889     0.299     0.842     3.000     0.000     0.000   599.000     1.500  -999.000    -1.183    -1.060     0.940    -5.320  -999.000  1019.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195103     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    13.841    11.330    12.915    13.110    15.498  -999.000    15.713    11.442    14.430    13.898    16.094  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000     0.000    18.001    18.962    19.455    17.424    72.008  4777.473  3789.105  3499.470  3574.420 15225.668    20.000    72.500  5114.839    11.143     2.961    10.809     3.390   137.500 26157.420  2191.185  2744.278   100.141    -7.668   -18.292    -0.841    -0.064    -0.876     0.154     0.470     0.015  -999.000    -0.885    -0.268  -999.000    -0.943     0.775    11.074    -0.549     9.505     9.151    27.000     0.000     4.000    -0.977    -0.390    -0.339    -0.596     0.085    -0.480    -0.005    -0.585    -0.435    -0.220    -0.890    -0.195    14.562     6.285    18.053    14.844    -0.110     1.255     1.164     0.088     0.186    -0.441    -0.151    -0.761     0.328     1.412     4.000     1.000     0.000   559.000    -0.200  -999.000    -1.204    -1.900     2.290    -1.930  -999.000  1025.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195104     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    15.844    14.826    14.713    14.417    18.693    15.593    15.617    13.082    15.234    14.572    17.752  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000     0.000    16.373    17.930    17.387    12.250    62.487  2932.011  3405.756  2746.351  2360.455 11172.495    20.000    75.000  5190.233    10.210     4.504     8.357     4.368   167.000 26812.168  2183.165  2761.472   101.916   -10.288   -35.590    -0.270     0.091    -0.049    -0.163     0.133    -0.674  -999.000    -0.209    -0.176  -999.000     0.949     2.628     5.789     3.325     9.853     9.281    23.000     0.000     7.000    -0.314    -0.291    -0.099    -0.535     0.011    -0.345    -0.140    -0.827    -0.216     0.122    -0.800    -2.138    17.131    12.951    17.979    15.803     0.049     0.566     0.540    -0.098     0.222    -0.418    -0.077    -0.805    -0.015     0.931     3.000     2.000     0.000   929.000    -0.500  -999.000    -0.544    -0.360     3.630     0.910  -999.000  1271.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195105     2.461     2.038     2.038     0.000     0.788     0.000     0.000     0.000     0.000     0.000     0.788    36.119    33.170    33.170     0.000     9.049     0.000     0.000     0.000     0.000     0.000     9.049    20.764    20.025    20.025    17.555    18.077    17.218    15.955    15.163    14.200    15.664    22.448    23.162    22.535    22.535  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000    24.375   158.207    16.188    19.512    16.093    16.782    66.855  2934.324  3042.935  2316.105  1935.407  9984.424    70.000    77.500  5309.742    11.971     2.971    13.448     1.205   162.000 27341.484  2405.499  3171.642    99.584   -12.798   -38.145    -0.293     0.378    -0.436     0.238     0.081    -0.017  -999.000    -0.235     0.156  -999.000     2.399     4.013     2.393     2.234     8.486     9.662    31.000     0.000     0.000     0.291    -0.210     0.143    -0.238    -0.031    -0.280    -0.476    -0.550    -0.011     0.076    -0.655    -0.680    16.804    17.586    18.053    17.216     0.120     0.380     0.485    -0.429     0.376    -0.154    -0.115    -0.622     0.066     0.655     3.000     1.000     0.000  1085.000    -1.100  -999.000    -0.374    -0.250     3.700     2.260  -999.000  1686.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195106    15.282     5.760    12.986     0.000     3.003     0.000     3.816     2.904     0.000     7.514     3.003   232.115   104.177   207.902     0.000    39.811     0.000    53.448    41.764     0.000   108.215    39.811    23.405    22.770    22.519  -999.000    25.049    23.112    24.306    20.204    17.132    22.292    26.258    26.849    27.384    26.462  -999.000    27.372  -999.000    27.494    23.728  -999.000    25.764    28.746   139.438    16.118    17.935    18.841    14.418    65.477  2261.292  2346.183  2260.990  2108.292  8753.172    45.000    75.000  5374.167     9.291     2.716     8.599     3.011   146.000 28020.232  2457.027  3315.501    26.405   -10.134   -26.735    -0.285     0.342    -0.230    -0.013    -0.270     0.766  -999.000     0.055     0.040  -999.000     2.955     3.763    -1.636     1.224     8.647    10.576    30.000     0.000     0.000     1.530    -0.043    -0.139    -0.231    -0.315    -0.145    -0.082    -0.630     0.095    -0.023    -0.726    -1.238    12.830     9.615    19.181    16.228     0.093     1.246     0.590    -0.052    -0.189    -0.214     0.050    -0.622    -0.012     0.883  -999.000     2.000     0.000  1006.000     0.300  -999.000     0.319    -1.090     3.850    -0.300  -999.000  1617.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195107    43.750    12.280    32.845     0.000     6.323     4.949    11.717     7.810     0.000    20.989    11.607  1165.219   383.200   976.156     0.000   131.310    86.896   354.303   208.444     0.000   605.809   224.470    28.991    26.878    29.003    29.070    26.929    30.170    31.266    30.542    25.438    30.641    28.883    34.400    32.864    35.784  -999.000    31.051    32.964    38.775    38.045  -999.000    38.087    32.417   128.620    14.024    15.114    15.388    13.893    57.042  1206.468  1705.969  2741.321  2017.248  7498.017   277.500    62.500  5459.419     8.090     2.544     6.023     1.738   165.000 28257.289  2518.802  3403.698    52.818     2.440   -17.714     0.247    -0.473    -0.439     0.489     0.234     0.225  -999.000    -0.042    -0.155  -999.000     1.557     2.790    -0.155     1.280    10.167    12.590    28.000     0.000     3.000     1.788     0.714    -0.008     0.406    -0.326     0.291    -0.186    -0.709     0.542     0.043    -0.542     1.079     7.185     4.145    22.284    19.475     0.240    -0.654    -0.272    -0.213    -0.132     0.120     0.551    -0.653    -0.219     0.687  -999.000     2.000     0.000   615.000    -1.700  -999.000     0.676     0.700     2.870    -2.700  -999.000  1163.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195108    46.855    11.685    33.785     0.000     8.033     5.039    12.323     8.549     0.000    22.715    13.562  1226.874   305.609  1029.165     0.000   135.548    77.708   382.589   306.900     0.000   739.568   221.195    28.501    27.157    29.657    29.926    27.989    25.953    28.934    36.317    32.264    31.553    26.422    34.844    33.170    36.641  -999.000    33.914    29.852    37.504    42.834  -999.000    39.498    31.549   130.635    15.492    15.160    15.412    12.028    56.784  2026.061  1968.729  2451.882  1830.811  8102.364   152.500    75.000  5414.968     6.955     5.035     7.429     4.224   169.000 28510.807  2546.849  3466.896    42.968    -1.813   -27.587    -0.179     0.055    -0.076     0.438     0.313    -0.353  -999.000    -0.014     0.367     0.020     1.774     2.552    -1.800     1.090     9.643     9.072    18.000     0.000    13.000     1.225     0.498    -0.197     0.401    -0.553     0.262     0.189    -0.561     0.298    -0.071    -0.266     0.006     5.512     3.355    22.849    16.741     0.028     0.869     0.704     0.159    -0.197     0.202     0.337    -0.637    -0.183     0.341  -999.000     3.000     1.000   610.000    -0.400  -999.000     0.842    -1.370     0.980    -5.310  -999.000  1098.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195109    24.707     6.351    15.058     0.000     6.364     2.938     5.584     2.781     0.000     8.708     9.726   438.743   125.395   269.963     0.000   113.998    44.740    87.273    50.869     0.000   144.568   168.015    26.440    25.585    26.976    23.812    25.234    26.261    27.379    30.603    24.869    28.274    25.462    30.185    29.401    30.880  -999.000    28.478    28.773    31.427    34.226  -999.000    32.259    28.929   122.871    17.201    18.092    17.989    14.505    65.966  2011.684  2758.237  3228.396  2197.177  9929.318   115.000    80.000  5404.433     7.836     2.555     5.796     2.922   127.000 27971.834  2517.635  3372.757    81.563    -8.972   -36.042    -0.221     0.223    -0.283    -0.774     0.522    -0.104  -999.000    -0.478    -0.030    -0.155     3.566     3.904    -1.817     0.920    10.556     9.110    27.000     0.000     3.000     0.545     0.524    -0.113     0.616    -0.302     0.243     0.094    -0.324     0.269    -0.177    -0.140    -0.456     8.003     5.418    24.077    23.728    -0.052     0.702    -0.265     0.109    -0.128     0.406     0.278    -0.513     0.110     0.437     3.000     2.000     2.000   831.000    -1.800  -999.000     0.743    -0.080    -0.040    -5.920  -999.000  1178.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
    195110     5.490     0.000     0.000     0.000     5.075     0.273     0.000     0.000     0.000     0.000     5.490   108.140     0.000     0.000     0.000   103.136     3.357     0.000     0.000     0.000     0.000   108.140    25.072    20.688    19.582    21.913    25.108    27.761    20.331    15.959    18.019    18.490    25.072    29.103  -999.000  -999.000  -999.000    28.777    29.675  -999.000  -999.000  -999.000  -999.000    29.103   138.247    19.438    19.602    18.129    14.476    69.618  4784.587  5081.599  4911.451  2687.788 16968.166   240.000    80.000  5150.484     9.851     3.916    12.980     2.504   166.000 27235.289  2457.561  3231.472    94.157    -5.945   -35.370     0.709    -0.006    -0.210     0.127    -0.095     0.262  -999.000     0.196     0.230  -999.000     3.432     4.430     0.273    -0.062     9.421    10.107     5.000     9.000    17.000     0.549     0.732    -0.031     0.591    -0.138     0.354     0.005    -0.362     0.402    -0.360    -0.335     1.391    11.653     6.004    23.786    24.402    -0.032    -0.136    -0.128    -0.001    -0.197     0.298     0.496    -0.389    -0.030     0.198     2.000     4.000     0.000   516.000    -1.600  -999.000     0.736    -0.320    -0.970    -4.590  -999.000  1060.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000  -999.000
